market,is_cumulative,seq,code,name,board_date,purpose_code,amount_cap,planned_shares,price_low,price_high,period_start,period_end,done,standard_data,bought_shares,cancelled_transferred_shares,bought_ratio_pct,bought_amount,avg_price,bought_of_outstanding_pct,note,purpose_text
sii,False,564,6271,同欣電,100/08/22,1,"3,938,879,394","6,000,000",70.00,105.00,100/08/23,100/10/21,Y,,"2,200,000","2,200,000",36.67,"163,330,850",74.24,1.35,執行期間因國際金融局勢不穩，股價波動過劇，為維護股東權益、兼顧市場機制及後續資金運用效益等綜合考量下，視股價變化分批買回，因而未依原預定數量全數買回。,轉讓股份予員工
sii,True,累計,6271,同欣電,----,----,----,"10,000,000",----,----,----,----,----,,"2,991,000","2,991,000",29.91,"185,478,554",----,----,----,----
sii,False,565,6272,驊陞,115/05/12,1,"970,339,188","2,000,000",24.00,48.00,115/05/13,115/07/11,Y,,"1,296,000",,64.80,"41,899,502",32.33,1.59,為兼顧市場機制並維護整體股東權益，本公司視股價變化及成交量狀況執行分批買回策略，故未執行完畢。,轉讓股份予員工
sii,True,累計,6272,驊陞,----,----,----,"2,000,000",----,----,----,----,----,,"1,296,000",0,64.80,"41,899,502",----,----,----,----
sii,False,566,6277,宏正,93/07/19,1,"966,097,888","1,000,000",65.00,100.00,93/07/20,93/09/19,Y,,"1,000,000","1,000,000",100.00,"75,922,500",75.92,1.22,,轉讓股份予員工
sii,False,566,6277,宏正,93/10/22,1,"967,640,500","1,500,000",55.00,95.00,93/10/23,93/12/22,Y,,"517,000","517,000",34.47,"33,472,000",64.74,0.63,因考量買回期間股價維持穩定，並為顧及本公司股東權益與員工未來,轉讓股份予員工
sii,False,566,6277,宏正,97/09/22,3,"1,285,112,055","2,000,000",35.00,70.00,97/09/23,97/11/22,Y,,"2,000,000","2,000,000",100.00,"84,316,600",42.16,1.78,,維護公司信用及股東權益並辦理註銷
sii,True,累計,6277,宏正,----,----,----,"4,500,000",----,----,----,----,----,,"3,517,000","3,517,000",78.16,"193,711,100",----,----,----,----
sii,False,567,6278,台表科,96/12/19,1,"2,558,026,000","4,000,000",45.00,75.00,96/12/20,97/02/19,Y,,"2,500,000","2,500,000",62.50,"119,687,296",47.87,1.78,為兼顧市場機制及維護股東權益，故未依原預定數量全數買回。,轉讓股份予員工
sii,False,567,6278,台表科,104/08/10,1,"7,702,977,000","10,000,000",25.00,40.00,104/08/11,104/10/10,Y,,"3,000,000","3,000,000",30.00,"83,952,820",27.98,1.02,為兼顧市場機制不影響股價，並維護股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。,轉讓股份予員工
